Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
,,,,Emergency Shelter and Non-Food Items,SHL,Host Communities,,3421389,246910,,,
,,,,Emergency Shelter and Non-Food Items,SHL,IDP,,5460778,1864214,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Male,,5746433,1069570,,,
,,,,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,2732597,61107,,,
,,,,Emergency Shelter and Non-Food Items,SHL,People with disability,,1742224,325846,,,
,,,,Emergency Shelter and Non-Food Items,SHL,total,,11614764,2172231,,,
,,,,"Water, Sanitation and Hygiene",WSH,,,25512902,12306027,,,
,,,,"Water, Sanitation and Hygiene",WSH,Adult,,9439774,4553230,,,
,,,,"Water, Sanitation and Hygiene",WSH,Children,,15307741,7383616,,,
,,,,"Water, Sanitation and Hygiene",WSH,Elderly,,765387,369181,,,
,,,,"Water, Sanitation and Hygiene",WSH,Female,,13011580,6276074,,,
,,,,"Water, Sanitation and Hygiene",WSH,Host Communities,,5611527,2931095,,,
,,,,"Water, Sanitation and Hygiene",WSH,IDP,,7776254,4353986,,,
,,,,"Water, Sanitation and Hygiene",WSH,Male,,12501322,6029953,,,
,,,,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,12125121,5020946,,,
,,,,"Water, Sanitation and Hygiene",WSH,People with disability,,3061548,1476725,,,
,,,,"Water, Sanitation and Hygiene",WSH,total,,25512902,12306027,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Adult,547162,278574,147043,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Children,649518,330686,174550,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Elderly,66974,34098,17998,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Female,635618,323609,170815,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Host Communities,22029,6519,17097,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,IDP,15599,4672,11018,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Male,628036,319748,168777,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Non-hosting population,1219596,431045,303116,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,People with disability,189548,96504,50939,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,Refugees,6955,6955,8360,,,
,,SD01001,Jebel Awlia,Final caseload,ALL,total,1263654,643357,339591,,,
,,SD01001,Jebel Awlia,Site Management,CCM,Adult,,2889,1113,,,
,,SD01001,Jebel Awlia,Site Management,CCM,Children,,4040,1570,,,
,,SD01001,Jebel Awlia,Site Management,CCM,Elderly,,450,171,,,
,,SD01001,Jebel Awlia,Site Management,CCM,Female,,3873,1513,,,
,,SD01001,Jebel Awlia,Site Management,CCM,IDP,,7040,2854,,,
,,SD01001,Jebel Awlia,Site Management,CCM,Male,,3507,1341,,,
,,SD01001,Jebel Awlia,Site Management,CCM,People with disability,,753,428,,,
,,SD01001,Jebel Awlia,Site Management,CCM,total,,7040,2854,,,
,,SD01001,Jebel Awlia,Education,EDU,Children,,225836,68140,,,
,,SD01001,Jebel Awlia,Education,EDU,Female,,115177,34751,,,
,,SD01001,Jebel Awlia,Education,EDU,Host Communities,,4214,1649,,,
,,SD01001,Jebel Awlia,Education,EDU,IDP,,2818,1316,,,
,,SD01001,Jebel Awlia,Education,EDU,Male,,110660,33388,,,
,,SD01001,Jebel Awlia,Education,EDU,Non-hosting population,,216432,65175,,,
,,SD01001,Jebel Awlia,Education,EDU,total,,223465,68140,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Adult,,220948,216605,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Children,,251077,4560,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Elderly,,30129,6840,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Female,,251077,124719,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Host Communities,,17148,16675,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,IDP,,11102,9454,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Male,,251077,103286,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,Non-hosting population,,512537,201876,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,People with disability,,75323,5700,,,
,,SD01001,Jebel Awlia,Food Security and Livelihoods,FSC,total,,540787,228005,,,
,,SD01001,Jebel Awlia,Health,HEA,Adult,,247363,50782,,,
,,SD01001,Jebel Awlia,Health,HEA,Children,,151712,60282,,,
,,SD01001,Jebel Awlia,Health,HEA,Elderly,,25271,6216,,,
,,SD01001,Jebel Awlia,Health,HEA,Female,,196497,59813,,,
,,SD01001,Jebel Awlia,Health,HEA,Host Communities,,14524,8488,,,
,,SD01001,Jebel Awlia,Health,HEA,IDP,,10952,6338,,,
,,SD01001,Jebel Awlia,Health,HEA,Male,,227848,57467,,,
,,SD01001,Jebel Awlia,Health,HEA,Non-hosting population,,349142,102453,,,
,,SD01001,Jebel Awlia,Health,HEA,People with disability,,131738,17592,,,
,,SD01001,Jebel Awlia,Health,HEA,total,,374617,117280,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Adult,,,13271,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Children,,,15754,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Elderly,,,1624,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Female,,,15417,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Host Communities,,,1143,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,IDP,,,1138,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Male,,,15233,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,Non-hosting population,,,28368,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,People with disability,,,4598,,,
,,SD01001,Jebel Awlia,Multi-Purpose Cash,MPC,total,,,30650,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,Adult,,4013,4013,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,Children,,3846,3846,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,Elderly,,502,502,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,Female,,4264,4264,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,Male,,4097,4097,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,People with disability,,1254,1254,,,
,,SD01001,Jebel Awlia,Refugee Response,MS,total,,8360,8360,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Adult,,9183,8507,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Children,,97268,49560,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Female,,58790,33783,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Host Communities,,1949,1217,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,IDP,,1404,912,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Male,,47661,24284,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,Non-hosting population,,91092,55901,,,
,,SD01001,Jebel Awlia,Nutrition,NUT,total,,94446,58030,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Adult,,138888,24981,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Children,,134400,24174,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Elderly,,15174,2730,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Female,,145130,26104,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Host Communities,,3598,1040,,,
,,SD01001,Jebel Awlia,General Protection,PRO,IDP,,8909,3174,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Male,,143332,25780,,,
,,SD01001,Jebel Awlia,General Protection,PRO,Non-hosting population,,192852,47670,,,
,,SD01001,Jebel Awlia,General Protection,PRO,People with disability,,43269,7783,,,
,,SD01001,Jebel Awlia,General Protection,PRO,total,,205359,51884,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Adult,,29004,1350,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Children,,173829,21150,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Female,,102049,11475,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Host Communities,,8319,1000,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,IDP,,14732,11000,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Male,,100784,11025,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,Non-hosting population,,234793,10500,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,People with disability,,30425,3375,,,
,,SD01001,Jebel Awlia,Child Protection,PRO-CPN,total,,257844,22500,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Adult,,63673,7024,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Children,,63674,7024,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Elderly,,2599,288,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Female,,116952,12903,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,7823,815,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,IDP,,10559,3976,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Male,,12994,1433,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,103693,8861,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,People with disability,,19492,1433,,,
,,SD01001,Jebel Awlia,Gender-Based Violence (GBV),PRO-GBV,total,,122076,13653,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Adult,,297320,19933,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Children,,183063,22206,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Elderly,,30464,2590,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Female,,236567,22315,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Host Communities,,5475,1975,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,IDP,,10452,2099,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Male,,274280,22410,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,Non-hosting population,,177462,40650,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,People with disability,,,6695,,,
,,SD01001,Jebel Awlia,Mine Action,PRO-MIN,total,,193388,44724,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Adult,,66602,2123,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Children,,40848,2590,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Elderly,,6804,301,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Female,,52906,2322,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Host Communities,,10784,778,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,IDP,,8083,1656,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Male,,61348,2692,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,115377,2580,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,People with disability,,17138,752,,,
,,SD01001,Jebel Awlia,Emergency Shelter and Non-Food Items,SHL,total,,134244,5014,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Adult,,175689,84241,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Children,,284902,136607,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Elderly,,14245,6830,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Female,,242166,116116,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Host Communities,,17687,9238,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,IDP,,11510,6444,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Male,,232670,111563,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,511951,211996,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,People with disability,,56980,27322,,,
,,SD01001,Jebel Awlia,"Water, Sanitation and Hygiene",WSH,total,,541147,227679,,,
,,SD01002,Um Bada,Final caseload,ALL,Adult,676255,338251,173129,,,
,,SD01002,Um Bada,Final caseload,ALL,Children,802760,401527,205515,,,
,,SD01002,Um Bada,Final caseload,ALL,Elderly,82775,41403,21191,,,
,,SD01002,Um Bada,Final caseload,ALL,Female,785580,392934,201117,,,
,,SD01002,Um Bada,Final caseload,ALL,Host Communities,9729,51006,7551,,,
,,SD01002,Um Bada,Final caseload,ALL,IDP,6220,47130,4393,,,
,,SD01002,Um Bada,Final caseload,ALL,Male,776210,388247,198718,,,
,,SD01002,Um Bada,Final caseload,ALL,Non-hosting population,1542332,265590,383328,,,
,,SD01002,Um Bada,Final caseload,ALL,People with disability,234269,117177,59975,,,
,,SD01002,Um Bada,Final caseload,ALL,Refugees,3796,3796,4563,,,
,,SD01002,Um Bada,Final caseload,ALL,total,1561790,781180,399835,,,
,,SD01002,Um Bada,Site Management,CCM,Adult,,1966,444,,,
,,SD01002,Um Bada,Site Management,CCM,Children,,2749,626,,,
,,SD01002,Um Bada,Site Management,CCM,Elderly,,307,68,,,
,,SD01002,Um Bada,Site Management,CCM,Female,,2636,603,,,
,,SD01002,Um Bada,Site Management,CCM,IDP,,2807,1138,,,
,,SD01002,Um Bada,Site Management,CCM,Male,,2386,535,,,
,,SD01002,Um Bada,Site Management,CCM,People with disability,,3507,171,,,
,,SD01002,Um Bada,Site Management,CCM,total,,2807,1138,,,
,,SD01002,Um Bada,Education,EDU,Children,,281315,83674,,,
,,SD01002,Um Bada,Education,EDU,Female,,143471,42674,,,
,,SD01002,Um Bada,Education,EDU,Host Communities,,1861,728,,,
,,SD01002,Um Bada,Education,EDU,IDP,,1124,525,,,
,,SD01002,Um Bada,Education,EDU,Male,,137845,41000,,,
,,SD01002,Um Bada,Education,EDU,Non-hosting population,,273706,82421,,,
,,SD01002,Um Bada,Education,EDU,total,,276691,83674,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Adult,,382150,253110,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Children,,434261,5329,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Elderly,,52111,7993,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Female,,434261,145738,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Host Communities,,7573,7364,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,IDP,,4427,3770,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Male,,434261,120693,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,Non-hosting population,,648167,255297,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,People with disability,,130278,6661,,,
,,SD01002,Um Bada,Food Security and Livelihoods,FSC,total,,660167,266431,,,
,,SD01002,Um Bada,Health,HEA,Adult,,295907,58819,,,
,,SD01002,Um Bada,Health,HEA,Children,,199542,69822,,,
,,SD01002,Um Bada,Health,HEA,Elderly,,29428,7200,,,
,,SD01002,Um Bada,Health,HEA,Female,,242652,69279,,,
,,SD01002,Um Bada,Health,HEA,Host Communities,,6414,3749,,,
,,SD01002,Um Bada,Health,HEA,IDP,,4367,2527,,,
,,SD01002,Um Bada,Health,HEA,Male,,282226,66562,,,
,,SD01002,Um Bada,Health,HEA,Non-hosting population,,441533,129565,,,
,,SD01002,Um Bada,Health,HEA,People with disability,,70329,20376,,,
,,SD01002,Um Bada,Health,HEA,total,,452315,135841,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Adult,,,15949,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Children,,,18933,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Elderly,,,1952,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Female,,,18528,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Host Communities,,,505,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,IDP,,,454,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Male,,,18307,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,Non-hosting population,,,35875,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,People with disability,,,5525,,,
,,SD01002,Um Bada,Multi-Purpose Cash,MPC,total,,,36834,,,
,,SD01002,Um Bada,Refugee Response,MS,Adult,,2190,2190,,,
,,SD01002,Um Bada,Refugee Response,MS,Children,,2099,2099,,,
,,SD01002,Um Bada,Refugee Response,MS,Elderly,,274,274,,,
,,SD01002,Um Bada,Refugee Response,MS,Female,,2327,2327,,,
,,SD01002,Um Bada,Refugee Response,MS,Male,,2236,2236,,,
,,SD01002,Um Bada,Refugee Response,MS,People with disability,,684,684,,,
,,SD01002,Um Bada,Refugee Response,MS,total,,4563,4563,,,
,,SD01002,Um Bada,Nutrition,NUT,Adult,,14628,10531,,,
,,SD01002,Um Bada,Nutrition,NUT,Children,,58391,61110,,,
,,SD01002,Um Bada,Nutrition,NUT,Female,,44407,41698,,,
,,SD01002,Um Bada,Nutrition,NUT,Host Communities,,861,538,,,
,,SD01002,Um Bada,Nutrition,NUT,IDP,,560,364,,,
,,SD01002,Um Bada,Nutrition,NUT,Male,,28612,29944,,,
,,SD01002,Um Bada,Nutrition,NUT,Non-hosting population,,115198,70694,,,
,,SD01002,Um Bada,Nutrition,NUT,total,,116618,71595,,,
,,SD01002,Um Bada,General Protection,PRO,Adult,,172138,29856,,,
,,SD01002,Um Bada,General Protection,PRO,Children,,166576,28891,,,
,,SD01002,Um Bada,General Protection,PRO,Elderly,,18806,3262,,,
,,SD01002,Um Bada,General Protection,PRO,Female,,179874,31198,,,
,,SD01002,Um Bada,General Protection,PRO,Host Communities,,1589,459,,,
,,SD01002,Um Bada,General Protection,PRO,IDP,,3552,1266,,,
,,SD01002,Um Bada,General Protection,PRO,Male,,177646,30811,,,
,,SD01002,Um Bada,General Protection,PRO,Non-hosting population,,243885,60284,,,
,,SD01002,Um Bada,General Protection,PRO,People with disability,,53628,9302,,,
,,SD01002,Um Bada,General Protection,PRO,total,,249026,62009,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Adult,,35927,1416,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Children,,214664,22184,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Female,,126076,12036,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Host Communities,,3674,1300,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,IDP,,5874,4300,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Male,,124515,11564,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,Non-hosting population,,296925,18000,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,People with disability,,37589,3540,,,
,,SD01002,Um Bada,Child Protection,PRO-CPN,total,,306473,23600,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Adult,,77519,8282,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Children,,77520,8282,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Elderly,,3165,339,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Female,,142384,15213,,,
