objectid,adm0_name,adm0_iso3,adm0_m49,adm1_name,adm1_pcode,adm2_pcode,adm2_name,adm_name,adm_pcode,adm_level,round,coll_start_date,coll_end_date,coll_mid_date,surveys,tot_crop_producers,tot_ls_producers,tot_fish_producers,hh_agricactivity_1,hh_agricactivity_2,hh_agricactivity_3,hh_agricactivity_4,hh_agricactivity_888,hh_agricactivity_999,resp_isfishproducer_1,resp_iscropproducer_1,resp_islsproducer_1,crp_area_change_1,crp_area_change_2,crp_area_change_3,crp_area_change_4,crp_area_change_5,crp_area_change_888,crp_area_change_999,crp_harv_change_1,crp_harv_change_2,crp_harv_change_3,crp_harv_change_4,crp_harv_change_5,crp_harv_change_888,crp_harv_change_999,crp_main_1100,crp_main_1200,crp_main_1300,crp_main_1400,crp_main_1500,crp_main_1600,crp_main_1990,crp_main_2100,crp_main_2200,crp_main_2300,crp_main_2400,crp_main_2500,crp_main_2600,crp_main_2990,crp_main_3100,crp_main_3200,crp_main_3300,crp_main_3400,crp_main_3500,crp_main_3600,crp_main_3700,crp_main_3990,crp_main_4100,crp_main_4200,crp_main_4300,crp_main_4400,crp_main_4500,crp_main_4600,crp_main_4700,crp_main_4900,crp_main_4101,crp_main_4990,crp_main_5100,crp_main_5200,crp_main_5300,crp_main_5400,crp_main_5500,crp_main_5600,crp_main_5700,crp_main_5800,crp_main_5900,crp_main_5101,crp_main_5110,crp_main_5990,crp_main_6100,crp_main_6200,crp_main_6300,crp_main_6400,crp_main_6990,crp_main_7100,crp_main_7200,crp_main_7300,crp_main_7400,crp_main_7500,crp_main_7600,crp_main_7700,crp_main_7800,crp_main_7900,crp_main_7101,crp_main_7110,crp_main_7120,crp_main_7130,crp_main_7140,crp_main_7150,crp_main_7160,crp_main_7170,crp_main_7180,crp_main_7990,crp_main_8100,crp_main_8200,crp_main_8300,crp_main_8400,crp_main_8500,crp_main_8600,crp_main_8700,crp_main_8800,crp_main_8990,crp_main_9100,crp_main_9200,crp_main_9300,crp_main_9400,crp_main_9500,crp_main_9990,crp_main_10100,crp_main_10200,crp_main_10300,crp_main_10400,crp_main_10500,crp_main_10600,crp_main_10990,crp_main_777000,crp_main_888000,crp_main_999000,crp_irrig_source_1,crp_irrig_source_2,crp_irrig_source_3,crp_irrig_source_4,crp_irrig_source_5,crp_irrig_source_666,crp_irrig_source_888,crp_irrig_source_999,crp_irrig_system_1,crp_irrig_system_2,crp_irrig_system_3,crp_irrig_system_4,crp_irrig_system_5,crp_irrig_system_888,crp_irrig_system_999,crp_irrig_pay_0,crp_irrig_pay_1,crp_irrig_pay_888,crp_irrig_pay_999,crp_storage_1,crp_storage_2,crp_storage_3,crp_storage_4,crp_storage_5,crp_storage_6,crp_storage_888,crp_storage_999,crp_salesprice_1,crp_salesprice_2,crp_salesprice_3,crp_salesprice_4,crp_salesprice_5,crp_salesprice_888,crp_salesprice_999,crp_proddif_0,crp_proddif_1,crp_proddif_888,crp_proddif_999,crp_proddif_access_credit_1,crp_proddif_access_fertilize_1,crp_proddif_access_fuel_1,crp_proddif_access_labour_1,crp_proddif_access_machinery_1,crp_proddif_access_pesticide_1,crp_proddif_access_plot_1,crp_proddif_animal_grazing_1,crp_proddif_dk_1,crp_proddif_excess_water_1,crp_proddif_lack_irrigation_1,crp_proddif_other_1,crp_proddif_pest_outbreak_1,crp_proddif_plant_disease_1,crp_proddif_ref_1,crp_proddif_seed_quality_1,crp_proddif_seed_quantity_1,crp_proddif_soil_erosion_1,crp_salesdif_0,crp_salesdif_1,crp_salesdif_888,crp_salesdif_999,crp_saledif_competition_1,crp_saledif_damage_losses_1,crp_saledif_dk_1,crp_saledif_low_demand_1,crp_saledif_low_price_1,crp_saledif_marketing_cost_1,crp_saledif_other_1,crp_saledif_pay_delay_1,crp_saledif_processing_1,crp_saledif_ref_1,crp_seed_company_1,crp_seed_dk_1,crp_seed_gov_1,crp_seed_market_1,crp_seed_ngo_1,crp_seed_organized_community_1,crp_seed_other_1,crp_seed_ownprod_1,crp_seed_ref_1,crp_seed_relatives_friends_1,hh_age_median,hh_age_wmean,hh_age_stddev,hh_age_ci_low,hh_age_ci_high,hh_size_median,hh_size_wmean,hh_size_stddev,hh_size_ci_low,hh_size_ci_high,tot_income_median,tot_income_wmean,tot_income_stddev,tot_income_ci_low,tot_income_ci_high,crp_harv_lastyr_kg_median,crp_harv_lastyr_kg_wmean,crp_harv_lastyr_kg_stddev,crp_harv_lastyr_kg_ci_low,crp_harv_lastyr_kg_ci_high,crp_harv_vol_kg_median,crp_harv_vol_kg_wmean,crp_harv_vol_kg_stddev,crp_harv_vol_kg_ci_low,crp_harv_vol_kg_ci_high,crp_landsize_ha_median,crp_landsize_ha_wmean,crp_landsize_ha_stddev,crp_landsize_ha_ci_low,crp_landsize_ha_ci_high
746,Yemen,YEM,887,Hadramawt,YE19,,,Hadramawt,YE19,1,5,1/26/2023 12:00:00 AM,2/5/2023 12:00:00 AM,1/31/2023 12:00:00 AM,115,,,,4.5588,26.7521,22.3534,46.3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
747,Yemen,YEM,887,Hajjah,YE17,,,Hajjah,YE17,1,5,1/25/2023 12:00:00 AM,1/29/2023 12:00:00 AM,1/27/2023 12:00:00 AM,121,,,,14.1707,16.4591,35.3076,34.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
748,Yemen,YEM,887,Ibb,YE11,,,Ibb,YE11,1,5,1/25/2023 12:00:00 AM,1/28/2023 12:00:00 AM,1/26/2023 12:00:00 AM,121,,,,11.2843,10.3406,23.0806,55.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
749,Yemen,YEM,887,Lahj,YE25,,,Lahj,YE25,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,116,,,,5.5761,25.8967,43.4072,25.1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
750,Yemen,YEM,887,Ma'rib,YE26,,,Ma'rib,YE26,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,125,,,,5.6889,15.3449,30.2344,48.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
751,Yemen,YEM,887,Raymah,YE31,,,Raymah,YE31,1,5,1/25/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/29/2023 12:00:00 AM,126,,,,4.8279,13.1552,45.4862,36.5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
752,Yemen,YEM,887,Sa'dah,YE22,,,Sa'dah,YE22,1,5,1/25/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,112,,,,8.9266,21.3015,35.9133,33.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
753,Yemen,YEM,887,Sana'a,YE23,,,Sana'a,YE23,1,5,1/25/2023 12:00:00 AM,1/31/2023 12:00:00 AM,1/28/2023 12:00:00 AM,118,,,,14.5521,9.1893,23.5809,52.6779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
754,Yemen,YEM,887,Sana'a City,YE13,,,Sana'a City,YE13,1,5,1/25/2023 12:00:00 AM,2/2/2023 12:00:00 AM,1/29/2023 12:00:00 AM,112,,,,1.0448,6.9309,2.6169,89.4064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
755,Yemen,YEM,887,Shabwah,YE21,,,Shabwah,YE21,1,5,1/26/2023 12:00:00 AM,2/3/2023 12:00:00 AM,1/30/2023 12:00:00 AM,123,,,,3.1306,29.1013,35.1174,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
756,Yemen,YEM,887,Socotra,YE32,,,Socotra,YE32,1,5,1/30/2023 12:00:00 AM,2/3/2023 12:00:00 AM,2/1/2023 12:00:00 AM,118,,,,3.0654,32.0375,44.9428,19.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
757,Yemen,YEM,887,Ta'iz,YE15,,,Ta'iz,YE15,1,5,1/25/2023 12:00:00 AM,2/5/2023 12:00:00 AM,1/30/2023 12:00:00 AM,111,,,,11.1075,16.2732,32.4128,40.2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,
758,Somalia,SOM,706,Awdal,SO11,,,Awdal,SO11,1,5,12/13/2022 12:00:00 AM,1/15/2023 12:00:00 AM,12/29/2022 12:00:00 AM,143,58,89,0,25.2274,48.0052,14.7974,11.9696,,,,40.0248,62.8026,5.619,13.111,15.8793,34.5269,30.8633,,,5.619,14.984,16.857,41.0412,21.4983,,,,3.6108,10.8324,18.917,18.054,,2.6684,,,,,,,,3.6108,,,,,,,,,,,,1.8054,,,,,1.8054,17.9746,,,,,,,7.2216,,,,,,,,,,,,,,,,,6.2792,,,,,,,,,,1.8054,,,,,,,,,,,,,,,,,,,,,,,1.8054,3.6108,,,1.873,9.365,60.7489,12.1333,7.492,8.3873,,,,,,,,,,,,,,6.5143,28.0126,22.476,22.476,16.7746,3.746,,,8.014,28.049,4.007,39.8938,20.035,,,14.2844,85.7168,,,6.3186,45.237,18.9558,21.062,18.9558,37.9116,38.9184,25.2744,,6.3186,43.1308,8.4248,66.299,62.0866,,41.0246,36.8122,2.1062,28.049,71.9498,,,36.0773,41.6465,,52.7849,77.7238,55.692,16.7076,33.4152,33.4152,,,,1.873,81.2695,12.1333,1.873,,52.3616,,,2,2.51249171296344,0.64631246795932,2.40439698550366,2.62058644042323,9,8.96362493204936,2.98377097487265,8.4645940045637,9.46265585953503,,,0,,,,,0,,,,,0,,,0.03,3.02719286953454,7.61004199261053,0.993323595583753,5.06106214348534
759,Somalia,SOM,706,Bakool,SO25,,,Bakool,SO25,1,5,12/11/2022 12:00:00 AM,1/15/2023 12:00:00 AM,12/28/2022 12:00:00 AM,163,109,42,0,57.0219,16.6764,8.4966,17.8015,,,,65.5185,25.173,3.8476,29.8189,13.4666,33.6665,19.1957,,,2.9139,27.1964,11.6556,34.9668,23.2685,,,,,46.75,11.22,27.0738,,0.935,,,,,,,,5.61,,,,,,,0.935,,0.935,,,,,,,,,2.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935,,,,,,,,,,,,,,,,,,2.805,,,16.3523,0.9619,66.3288,6.7333,1.9238,7.6952,,,,,,,,,,,,,,4.8095,30.7808,17.3142,20.1999,22.0814,4.8095,,,7.317,24.39,12.195,43.902,7.317,4.878,,28.584,71.418,,,5.3364,29.9879,12.0069,6.6705,13.341,12.0069,17.3433,9.3387,,4.0023,47.3312,2.6682,66.705,62.7027,,19.3151,23.3174,4.0023,51.219,48.78,,,10,40,,25,45,65,,25,45,,,0.9619,,66.3288,15.3904,,,27.8951,,6.7333,2,2.42336063938459,0.586953713194854,2.33141311348077,2.51530816528842,9,9.09470843044532,3.11313157483498,8.6009336440509,9.58848321683975,,,0,,,,,0,,,,,0,,,1,4.05435225080091,7.64630829267702,2.51738645454681,5.59131804705501
